https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTT,Volume USDT,tradecount
1635379200000,2021-10-28 00:00:00,BTT/USDT,0.00333400,0.00337600,0.00328600,0.00337400,375821450.00000000,1256690.54329400,3487
1635375600000,2021-10-27 23:00:00,BTT/USDT,0.00338800,0.00340300,0.00332800,0.00333400,707959964.00000000,2377599.85028200,6301
1635372000000,2021-10-27 22:00:00,BTT/USDT,0.00339500,0.00340000,0.00336500,0.00338600,499747120.00000000,1688941.38236600,4176
1635368400000,2021-10-27 21:00:00,BTT/USDT,0.00337600,0.00340800,0.00337300,0.00339400,580097229.00000000,1967587.53854600,5529
1635364800000,2021-10-27 20:00:00,BTT/USDT,0.00338400,0.00340600,0.00334800,0.00337500,930582703.00000000,3140291.50627500,8989
1635361200000,2021-10-27 19:00:00,BTT/USDT,0.00341200,0.00341900,0.00332500,0.00338400,1438324179.00000000,4838918.84794200,15527
1635357600000,2021-10-27 18:00:00,BTT/USDT,0.00343900,0.00345900,0.00340900,0.00341100,678517510.00000000,2333859.14298900,5983
1635354000000,2021-10-27 17:00:00,BTT/USDT,0.00344900,0.00348800,0.00343300,0.00343800,851549644.00000000,2950620.23475200,7215
1635350400000,2021-10-27 16:00:00,BTT/USDT,0.00340900,0.00348700,0.00338400,0.00344900,1037259001.00000000,3552182.10643100,9613
1635346800000,2021-10-27 15:00:00,BTT/USDT,0.00345900,0.00348800,0.00340400,0.00340900,936414215.00000000,3220799.71414800,9360
1635343200000,2021-10-27 14:00:00,BTT/USDT,0.00343500,0.00347500,0.00338500,0.00346000,999073712.00000000,3423010.21125600,10265
1635339600000,2021-10-27 13:00:00,BTT/USDT,0.00346800,0.00347700,0.00342800,0.00343400,654363518.00000000,2258770.54985500,6212
1635336000000,2021-10-27 12:00:00,BTT/USDT,0.00340800,0.00346900,0.00339100,0.00346900,899176360.00000000,3087542.45804600,7158
1635332400000,2021-10-27 11:00:00,BTT/USDT,0.00344900,0.00347800,0.00339900,0.00340700,932302244.00000000,3205653.68531000,11235
1635328800000,2021-10-27 10:00:00,BTT/USDT,0.00341000,0.00345300,0.00337200,0.00345000,1372105874.00000000,4675864.12388700,13937
1635325200000,2021-10-27 09:00:00,BTT/USDT,0.00341400,0.00341500,0.00327700,0.00341000,2023953594.00000000,6809772.60493300,20449
1635321600000,2021-10-27 08:00:00,BTT/USDT,0.00360600,0.00360700,0.00304200,0.00341400,5234843168.00000000,17472230.91499200,57576
1635318000000,2021-10-27 07:00:00,BTT/USDT,0.00371300,0.00371400,0.00360000,0.00360500,1232772247.00000000,4503050.60476800,15101
1635314400000,2021-10-27 06:00:00,BTT/USDT,0.00380200,0.00381500,0.00370600,0.00371300,1200009066.00000000,4500038.85562000,11790
1635310800000,2021-10-27 05:00:00,BTT/USDT,0.00384500,0.00385300,0.00379100,0.00380000,564608220.00000000,2153872.96272300,5440
1635307200000,2021-10-27 04:00:00,BTT/USDT,0.00381700,0.00385400,0.00379500,0.00384500,909466856.00000000,3477187.81662100,8023
1635303600000,2021-10-27 03:00:00,BTT/USDT,0.00377700,0.00384300,0.00377300,0.00381600,801263645.00000000,3057897.26722600,6570
1635300000000,2021-10-27 02:00:00,BTT/USDT,0.00377400,0.00378500,0.00376000,0.00377700,417759480.00000000,1575786.55238300,3092
1635296400000,2021-10-27 01:00:00,BTT/USDT,0.00375900,0.00379000,0.00375800,0.00377400,344176061.00000000,1300406.31476800,2804
1635292800000,2021-10-27 00:00:00,BTT/USDT,0.00375000,0.00378800,0.00372600,0.00375800,842979437.00000000,3171495.29247800,5880
1635289200000,2021-10-26 23:00:00,BTT/USDT,0.00371700,0.00375400,0.00370000,0.00375100,738123382.00000000,2756073.91945700,4274
1635285600000,2021-10-26 22:00:00,BTT/USDT,0.00377800,0.00379200,0.00368700,0.00371900,1468061268.00000000,5500447.08762200,13616
1635282000000,2021-10-26 21:00:00,BTT/USDT,0.00384400,0.00385400,0.00376300,0.00377800,1359832570.00000000,5191976.05515300,11366
1635278400000,2021-10-26 20:00:00,BTT/USDT,0.00385800,0.00387000,0.00383300,0.00384300,937566108.00000000,3607942.58659900,8270
1635274800000,2021-10-26 19:00:00,BTT/USDT,0.00388400,0.00392200,0.00383400,0.00385800,2247370881.00000000,8698782.16733000,18256
1635271200000,2021-10-26 18:00:00,BTT/USDT,0.00372200,0.00393500,0.00371500,0.00388500,6674488984.00000000,25786304.07847500,63181
1635267600000,2021-10-26 17:00:00,BTT/USDT,0.00369000,0.00372300,0.00368000,0.00372000,387848348.00000000,1437420.93100200,4717
1635264000000,2021-10-26 16:00:00,BTT/USDT,0.00370600,0.00370900,0.00367600,0.00368900,522754822.00000000,1929404.67955100,4596
1635260400000,2021-10-26 15:00:00,BTT/USDT,0.00368700,0.00370800,0.00367700,0.00370600,516712024.00000000,1907565.72306800,4977
1635256800000,2021-10-26 14:00:00,BTT/USDT,0.00370100,0.00370300,0.00365700,0.00368700,783946515.00000000,2885921.67749800,8329
1635253200000,2021-10-26 13:00:00,BTT/USDT,0.00371900,0.00372900,0.00370000,0.00370300,573285651.00000000,2128934.57305600,5816
1635249600000,2021-10-26 12:00:00,BTT/USDT,0.00373700,0.00374900,0.00370000,0.00371900,663798596.00000000,2469614.68596200,7551
1635246000000,2021-10-26 11:00:00,BTT/USDT,0.00375000,0.00375200,0.00372400,0.00373700,645769225.00000000,2411387.51472100,6570
1635242400000,2021-10-26 10:00:00,BTT/USDT,0.00373300,0.00377000,0.00373300,0.00375000,545933369.00000000,2050304.01313700,6975
1635238800000,2021-10-26 09:00:00,BTT/USDT,0.00374800,0.00375000,0.00372500,0.00373300,586826662.00000000,2193535.43891000,5887
1635235200000,2021-10-26 08:00:00,BTT/USDT,0.00374800,0.00376200,0.00374200,0.00374900,587279924.00000000,2203625.75425400,5142
1635231600000,2021-10-26 07:00:00,BTT/USDT,0.00373600,0.00375800,0.00371900,0.00374700,631505044.00000000,2360695.74108500,5202
1635228000000,2021-10-26 06:00:00,BTT/USDT,0.00371100,0.00374500,0.00369200,0.00373500,671868720.00000000,2500335.86442500,4877
1635224400000,2021-10-26 05:00:00,BTT/USDT,0.00370700,0.00372600,0.00370700,0.00371100,379608764.00000000,1410472.59891500,2797
1635220800000,2021-10-26 04:00:00,BTT/USDT,0.00372600,0.00373300,0.00369800,0.00370700,351669404.00000000,1305313.73639700,3378
1635217200000,2021-10-26 03:00:00,BTT/USDT,0.00373100,0.00373800,0.00370700,0.00372700,445725747.00000000,1658688.97680200,3409
1635213600000,2021-10-26 02:00:00,BTT/USDT,0.00372200,0.00376600,0.00371800,0.00373200,780770370.00000000,2923277.61338300,6628
1635210000000,2021-10-26 01:00:00,BTT/USDT,0.00370700,0.00374900,0.00369700,0.00372200,800768097.00000000,2981713.62416500,9612
